lag,corr
-12,-0.10091949158555712
-11,-0.03231437805548999
-10,0.030834560985399814
-9,-0.024340794603915764
-8,0.014694023247223962
-7,0.009453013215398525
-6,-0.06886159585214491
-5,-0.01237858130739739
-4,-0.10467093031440246
-3,-0.036423525030860694
-2,0.3172467165359756
-1,0.3585437986641013
0,0.20974348827056014
1,-0.039936282012413366
2,-0.07775614663418691
3,0.024882598324201
4,0.07963751386473202
5,-0.0550491296446066
6,-0.06138273800232749
7,-0.11021018322813766
8,0.02106143784847725
9,0.10211462169089501
10,-0.10724188101579993
11,-0.2589296499895591
12,-0.17788012882006662
