,count,mean,std,min,25%,50%,75%,max
PP,122.0,8190.966666666667,855.6275551737658,6043.6,7566.737499999999,8186.0,8800.0625,10339.25
PGP,122.0,8190.966666666667,855.6275551737658,6043.6,7566.737499999999,8186.0,8800.0625,10339.25
CRUDE,122.0,62.32619035824571,17.81684381175348,16.699047678992862,49.05836455152911,60.347045464949176,73.73886641508304,114.33904811314174
ret_PP,122.0,-0.0010523351372968128,0.04244431872255159,-0.1315825721789689,-0.023174815275867226,-0.00196881968033045,0.020648952190641424,0.1495961145356048
ret_PGP,122.0,-0.0010523351372968128,0.04244431872255159,-0.1315825721789689,-0.023174815275867226,-0.00196881968033045,0.020648952190641424,0.1495961145356048
ret_CRUDE,122.0,0.002963677887158109,0.12009783007683249,-0.6005850161236697,-0.053331755522023724,0.0196250156419712,0.05609221896712827,0.5355168404027957
resid_PP,119.0,1.0122621695111721e-16,0.04125796350201364,-0.1210685566232878,-0.02378608249416595,-0.0016080379802461,0.017805834806231602,0.135677728964991
score_demand,82.0,-0.1896559854531717,0.30636880094226127,-0.59258105487,-0.43693567188757476,-0.21603679934374997,0.022725964397500024,0.5323214725000001
score_overall,81.0,0.12345679012345678,0.5606406168255811,-0.9,-0.4,0.4,0.6,0.8
score_price_outlook,82.0,0.42492472269600917,0.31455967931467477,-0.098708384885,0.1666765178446,0.32249929138163774,0.74845676125,0.9803336
score_supply,82.0,0.04798563974947011,0.3454772809947665,-0.5090392499999999,-0.3450025725,0.08029721445,0.16293326818499998,0.6584550499999999
index_demand,83.0,-4.03523053602678,5.850803429967641,-15.883186162160078,-9.191848195914051,-2.458878873098075,0.6453312709218959,3.2289083396943967
index_overall,83.0,-0.31445783132530275,5.959500153579759,-10.8,-5.35,-0.7,5.299999999999997,9.999999999999998
index_price_outlook,83.0,16.134679577395065,10.261895108621978,0.0,6.975029649619778,14.961675051720851,24.22751484010614,34.567492093488895
index_supply,83.0,6.833947351764419,3.71703461773673,0.0,3.9303634650907773,7.593113627456555,10.350194420804055,12.371178900456554
index_hybrid,83.0,4.65473464045185,3.2287706076434244,-0.3102739389659691,0.8811786698481995,5.2966143956414165,7.923849106750877,8.59347385446192
