,0
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,0.5209153237809416
2016-02-01,0.40833772626706544
2016-03-01,0.6746299977311172
2016-04-01,0.5984124928303638
2016-05-01,0.5341179191989749
2016-06-01,0.5379139463197524
2016-07-01,0.35054094245628076
2016-08-01,0.3472857788958974
2016-09-01,0.38961794082550844
2016-10-01,0.4093851525695634
2016-11-01,0.3253062298053325
2016-12-01,0.233740562520194
2017-01-01,0.06790071084681965
2017-02-01,0.07804127422240652
2017-03-01,-0.24093126463039036
2017-04-01,-0.18758308940200086
2017-05-01,0.005516274333014834
2017-06-01,-0.059725076022177276
2017-07-01,0.3209754503645278
2017-08-01,0.3067165785872377
2017-09-01,0.3043071657407562
2017-10-01,0.2555006539901641
2017-11-01,0.40656963875069363
2017-12-01,0.35683437378662475
2018-01-01,0.37674585173797415
2018-02-01,0.41445413850394275
2018-03-01,0.33441500384511086
2018-04-01,0.4382068175604399
2018-05-01,0.39684888967139237
2018-06-01,0.28172528241711303
2018-07-01,0.22241615069960768
2018-08-01,0.05258048958095994
2018-09-01,0.06294878376053947
2018-10-01,0.07786452492628985
2018-11-01,0.1264169189290399
2018-12-01,0.29698617697804985
2019-01-01,0.09400894060590938
2019-02-01,0.04244271777270901
2019-03-01,0.004006961605330356
2019-04-01,-0.056013460510729356
2019-05-01,-0.1268938659970511
2019-06-01,-0.04789902110774765
2019-07-01,0.0696382342591067
2019-08-01,0.1206832628424117
2019-09-01,0.08653514270527049
2019-10-01,0.05726869676269357
2019-11-01,0.23487102465924556
2019-12-01,0.049911582395496784
2020-01-01,0.29273030039859427
2020-02-01,0.5824081151273666
2020-03-01,0.07951127266887253
2020-04-01,-0.4121756133291179
2020-05-01,-0.12939200835109155
2020-06-01,-0.0628585029769201
2020-07-01,-0.07475914221258018
2020-08-01,-0.06434193297141778
2020-09-01,-0.07512635955527686
2020-10-01,-0.07386924641377583
2020-11-01,-0.043121446449753326
2020-12-01,-0.03974199052696989
2021-01-01,-0.061700621641923144
2021-02-01,-0.206880524141832
2021-03-01,-0.421021543714702
2021-04-01,0.23635225641974952
2021-05-01,0.21326236698257411
2021-06-01,0.12802049397241183
2021-07-01,0.123753017089884
2021-08-01,0.21732200394425294
2021-09-01,0.33178392075612045
2021-10-01,0.28681405896178774
2021-11-01,0.47388374349160856
2021-12-01,0.5240743538895779
2022-01-01,0.5718148743136621
2022-02-01,0.5046080811879826
2022-03-01,0.5564278125340456
2022-04-01,0.5314253078675885
2022-05-01,0.5369493343011755
2022-06-01,0.5616911703950254
2022-07-01,0.6546449270001279
2022-08-01,0.6283839173690651
2022-09-01,0.582666612139569
2022-10-01,0.5663515525828299
2022-11-01,0.6549534142964994
2022-12-01,0.5853481720827894
2023-01-01,0.5192742974746588
2023-02-01,0.4800349653423074
2023-03-01,0.21952471169731286
2023-04-01,0.20527940965512187
2023-05-01,0.2886910483712375
2023-06-01,0.33133904581834556
2023-07-01,0.2608100256220847
2023-08-01,0.41749858922872224
2023-09-01,0.6748712973304095
2023-10-01,0.7632451594632534
2023-11-01,0.694702991876901
2023-12-01,0.7483795426361757
2024-01-01,0.7013623454550416
2024-02-01,0.7103721216925137
2024-03-01,0.7038738869813145
2024-04-01,0.7725722124114709
2024-05-01,0.6473319511329015
2024-06-01,0.6415662175049737
2024-07-01,0.604330084557171
2024-08-01,0.5495285899341482
2024-09-01,0.39157925501166474
2024-10-01,0.4392871620168615
2024-11-01,0.4976482682612631
2024-12-01,0.45295554901854324
2025-01-01,0.4497211019477395
2025-02-01,0.3612825867124832
2025-03-01,0.3076100443096751
