model_name,variable,coefficient
A_baseline,resid_PP_lag1,-0.22701355902940043
A_baseline,ret_CRUDE_lag1,-0.029403689679721956
A_baseline,ret_PGP_lag1,0.4547913843740093
A_baseline,intercept,0.0012193579176394884
B_sentiment_hybrid,resid_PP_lag1,0.26992381293138273
B_sentiment_hybrid,ret_CRUDE_lag1,-0.01990413765749527
B_sentiment_hybrid,ret_PGP_lag1,-0.12641800678975215
B_sentiment_hybrid,index_hybrid,0.02908024207967367
B_sentiment_hybrid,index_hybrid_lag1,-0.028831826464341886
B_sentiment_hybrid,intercept,-0.005392879849482756
C_sentiment_sections,resid_PP_lag1,0.26858812825823153
C_sentiment_sections,ret_CRUDE_lag1,-0.014919067924257075
C_sentiment_sections,ret_PGP_lag1,-0.1777138108487801
C_sentiment_sections,index_hybrid,0.012045077386821253
C_sentiment_sections,index_hybrid_lag1,-0.015221229887974076
C_sentiment_sections,index_demand,-0.017165845017493644
C_sentiment_sections,index_demand_lag1,0.019346149356033012
C_sentiment_sections,index_supply,0.018189605665324265
C_sentiment_sections,index_supply_lag1,-0.020508272835574087
C_sentiment_sections,index_price_outlook,0.0035304142407611627
C_sentiment_sections,index_price_outlook_lag1,-0.0002681416233314962
C_sentiment_sections,intercept,-0.019086915127058585
